ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
59034,Vancouver Centre,Vancouver-Centre,126995
59035,Vancouver East,Vancouver-Est,118675
59036,Vancouver Granville,Vancouver Granville,109799
59037,North Island--Powell River,North Island--Powell River,111825
59038,Vancouver Kingsway,Vancouver Kingsway,108054
59039,Vancouver Quadra,Vancouver Quadra,109328
59040,Vancouver South,Vancouver-Sud,109339
59041,Victoria,Victoria,123482
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,131206
60001,Yukon,Yukon,40232
61001,Northwest Territories,Territoires du Nord-Ouest,41070
62001,Nunavut,Nunavut,36858
